PEDERSEN CONDUCTANCE COEFFICIENTS
From Zihan Wang

#DIMENSIONS
24	nMlt
16	nLat

Lat	MLT	A0_up	A0_do	A1_up	A1_do	A2_up	A2_do

#START
84.0    13.0    4.44    5.12    1.84    1.65    0.00    0.00    
84.0    14.0    4.44    5.12    1.84    1.65    0.00    0.00    
84.0    15.0    4.44    5.12    1.84    1.65    0.00    0.00    
84.0    16.0    4.44    5.12    1.84    1.65    0.00    0.00    
84.0    17.0    4.44    5.12    1.84    1.65    0.00    0.00    
84.0    18.0    3.48    3.56    9.12    2.85    0.00    0.00    
84.0    19.0    3.48    3.56    9.12    2.85    0.00    0.00    
84.0    20.0    3.48    3.56    9.12    2.85    0.00    0.00    
84.0    21.0    3.48    3.56    9.12    2.85    0.00    0.00    
84.0    22.0    3.48    3.56    9.12    2.85    0.00    0.00    
84.0    23.0    3.48    3.56    9.12    2.85    0.00    0.00    
82.0    0.0     4.29    4.44    5.66    4.40    0.00    0.00    
82.0    1.0     4.29    4.44    5.66    4.40    0.00    0.00    
82.0    2.0     4.29    4.44    5.66    4.40    0.00    0.00    
82.0    3.0     4.29    4.44    5.66    4.40    0.00    0.00    
82.0    4.0     4.29    4.44    5.66    4.40    0.00    0.00    
82.0    5.0     4.29    4.44    5.66    4.40    0.00    0.00    
82.0    6.0     4.81    4.60    2.92    1.12    0.00    0.00    
82.0    7.0     4.81    4.60    2.92    1.12    0.00    0.00    
82.0    8.0     4.81    4.60    2.92    1.12    0.00    0.00    
82.0    9.0     4.81    4.60    2.92    1.12    0.00    0.00    
82.0    10.0    4.81    4.60    2.92    1.12    0.00    0.00    
82.0    11.0    4.81    4.60    2.92    1.12    0.00    0.00    
82.0    12.0    4.44    5.12    1.84    1.65    0.00    0.00    
82.0    13.0    4.44    5.12    1.84    1.65    0.00    0.00    
82.0    14.0    4.44    5.12    1.84    1.65    0.00    0.00    
82.0    15.0    4.44    5.12    1.84    1.65    0.00    0.00    
82.0    16.0    4.44    5.12    1.84    1.65    0.00    0.00    
82.0    17.0    4.44    5.12    1.84    1.65    0.00    0.00    
82.0    18.0    3.48    3.56    9.12    2.85    0.00    0.00    
82.0    19.0    3.48    3.56    9.12    2.85    0.00    0.00    
82.0    20.0    3.48    3.56    9.12    2.85    0.00    0.00    
82.0    21.0    3.48    3.56    9.12    2.85    0.00    0.00    
82.0    22.0    3.48    3.56    9.12    2.85    0.00    0.00    
82.0    23.0    3.48    3.56    9.12    2.85    0.00    0.00    
80.0    0.0     4.29    4.44    5.66    4.40    0.00    0.00    
80.0    1.0     4.29    4.44    5.66    4.40    0.00    0.00    
80.0    2.0     4.29    4.44    5.66    4.40    0.00    0.00    
80.0    3.0     4.29    4.44    5.66    4.40    0.00    0.00    
80.0    4.0     4.29    4.44    5.66    4.40    0.00    0.00    
80.0    5.0     4.29    4.44    5.66    4.40    0.00    0.00    
80.0    6.0     4.81    4.60    2.92    1.12    0.00    0.00    
80.0    7.0     4.81    4.60    2.92    1.12    0.00    0.00    
80.0    8.0     4.81    4.60    2.92    1.12    0.00    0.00    
80.0    9.0     4.81    4.60    2.92    1.12    0.00    0.00    
80.0    10.0    4.81    4.60    2.92    1.12    0.00    0.00    
80.0    11.0    4.81    4.60    2.92    1.12    0.00    0.00    
80.0    12.0    4.44    5.12    1.84    1.65    0.00    0.00    
80.0    13.0    4.44    5.12    1.84    1.65    0.00    0.00    
80.0    14.0    4.44    5.12    1.84    1.65    0.00    0.00    
